"","C24","CCA1-OX","COL","LER","PIF4OX","PIF5OXL1","PIF5OXL2","WS","elf3","elf4","hy2-103","hy5-1","pif4","pif4pif5","pif5s1","toc1-2"
"4090",0.000298622540135942,0.00203791816338696,0.000219007041985759,0.000925070129703588,0.00167603500529756,0.00253623214670148,0.00249059428519503,0.000766459943850379,0.00268998099745651,0.00209351467108937,0.00234263443350286,0.000413060075473718,2.60471897784450e-05,8.94698457915238e-07,2.56537246460248e-07,0.000945321574230431
"4100",0.000316508476157817,0.00203281924392250,0.000236720163332313,0.000961361667725078,0.00174595575139392,0.00253812123293711,0.00253893956249921,0.000795610776771843,0.00271527201390025,0.00210350487261799,0.00239925439629936,0.000392341600870933,3.8474783165872e-05,3.36577645031895e-07,2.97817994311638e-07,0.00101321696339617
"4110",0.000341219053408835,0.00203051810285624,0.000256753719487669,0.00100162013406056,0.00181897832508480,0.00254806862957080,0.00259482539746271,0.000821872126369083,0.00273940238851637,0.00211158695033635,0.00244428732150677,0.000374685684477424,5.32165981380776e-05,-1.07129379581973e-07,3.14489292851753e-07,0.00107750283520384
"4120",0.000371105383405795,0.00203157623550331,0.000278657077971444,0.00104412015721908,0.00189381509927787,0.00256418935933436,0.00265271051974092,0.000845600068402381,0.00276507978668447,0.00211850967013159,0.00247792317477639,0.000360564943941606,7.0321810422346e-05,-4.52439016538851e-07,3.19196187362938e-07,0.00113680561021143
"4130",0.000405088302416984,0.00203555539657616,0.00030193281819509,0.00108788764557996,0.00197186912046231,0.00258593184364256,0.0027082135594816,0.000867578514526683,0.00279465084172617,0.00212510725175305,0.00250048259943896,0.000350600449098064,8.9822493811562e-05,-7.15707210513745e-07,3.23538152147832e-07,0.0011903136953685
"4140",0.00044323871961487,0.00204132542506928,0.000326317330168541,0.00113196982899423,0.00205505306175864,0.00261302841492336,0.00275501290524746,0.000889076191675002,0.00282840612420331,0.00213184583333190,0.00251205997238502,0.000345234217940071,0.000111498084670260,-9.12806518026237e-07,3.38528182641362e-07,0.00123823584208572
"4150",0.000485771300528227,0.00204787237599247,0.000351729160041082,0.00117510877272278,0.00214458797441301,0.00264425835630267,0.002786239617219,0.00091145007347295,0.00286575873054192,0.0021390469055613,0.00251243200953702,0.000344615357728579,0.000135008539653375,-1.05699357185668e-06,3.75057782993062e-07,0.00128088066421871
"4160",0.000533071164615139,0.00205437152139898,0.000378262837052537,0.00121646553183392,0.00223880643797253,0.00267826113752474,0.0027959139636941,0.000935302973446772,0.00290526562474386,0.00214646580126305,0.00250120551860637,0.000348939625449892,0.000159935263955205,-1.16064462669718e-06,4.42908838112870e-07,0.00131844636763163
"4170",0.000585704665979051,0.00205974959521221,0.000405814364108704,0.00125540940382810,0.00233401701131578,0.00271414669081617,0.00278196077654947,0.000960160771916205,0.00294364412592877,0.00215270627625872,0.00247900460272133,0.000358028176101542,0.000185417122053495,-1.23536849994361e-06,5.51291978828041e-07,0.00135115729211972
"4180",0.000644216758314564,0.00206291272370187,0.000434082711731549,0.00129108776030274,0.00242621522409774,0.00275164760492326,0.00274293630116552,0.000985291853365733,0.00297714247814272,0.00215621862601366,0.00244735726314496,0.00037134077125829,0.000210379555372653,-1.28862669851838e-06,7.09117451148967e-07,0.00137927722104773
"4190",0.000708001677371384,0.00206346874496878,0.000462480561377678,0.0013218210663369,0.00251248593018786,0.00278819295027638,0.00268121859995898,0.00101022989215517,0.0030018589348295,0.00215560481733430,0.00240762977378970,0.000388042536381929,0.000233829759145939,-1.32648496951678e-06,9.23365945257745e-07,0.00140347364561208
"4200",0.000774754982029421,0.00206157944635713,0.000490211888132894,0.0013472896166769,0.00259104674092161,0.00281837424680752,0.00260460137305757,0.00103427622649168,0.003015401419407,0.00214982232145171,0.00236129301072678,0.000407157753321553,0.000256070235887938,-1.35413624217875e-06,1.20023377814868e-06,0.00142522220123634
"4210",0.000842049519860321,0.00205707861702473,0.000516512785171907,0.00136775507950593,0.00266020005158117,0.00283558511983245,0.00252130778254816,0.00105622956485321,0.00301638245843016,0.00213789272743991,0.00231008975330444,0.000427738778335234,0.00027795664220282,-1.37205825576750e-06,1.54515049067660e-06,0.00144607218116182
"4220",0.000907958888478975,0.00204774719290408,0.000541030323819616,0.0013839492975078,0.00271662602654397,0.00283542796502354,0.00243678141310387,0.00107353590928974,0.00300398197727122,0.002119442523422,0.00225674969434698,0.000448714371990877,0.000300027680518076,-1.37914187227030e-06,1.95923208512324e-06,0.00146660754351989
"4230",0.00097118236960065,0.00203002612139755,0.000563902676832537,0.00139613003535678,0.00275549040594533,0.00281649507037333,0.00235169086330140,0.00108429818782001,0.00297832944561400,0.00209519316124116,0.00220304519362061,0.000468267151237562,0.000322061821479296,-1.37337243221036e-06,2.44206748240418e-06,0.00148606543905575
